#{"t_start": 1649942095.82755, "env_id": "PointToPoint-v0"}
r,l,t
-290.991023,2001,16018.135474
-350.147071,2001,16052.216202
-141.586254,2001,16086.159467
-228.986527,2001,16120.088217
-248.637082,2001,16154.260394
-311.2518,2001,16188.441292
-300.543272,2001,16222.602397
-226.592583,2001,16256.646996
-265.642785,2001,16291.023568
-240.943674,2001,16325.275654
-165.707689,2001,16359.216177
-223.325475,2001,16393.268828
-290.001376,2001,16426.87467
-179.775104,2001,16461.114447
-117.89807,2001,16494.97428
-349.414094,2001,16528.895797
-349.69668,2001,16562.913728
-178.836069,2001,16597.266123
-228.518593,2001,16631.284359
-249.791333,2001,16665.393186
-274.683959,2001,16699.944591
-157.956698,2001,16734.350979
-303.648854,2001,16768.483359
-235.311258,2001,16802.787922
-197.697748,2001,16836.927926
-313.997437,2001,16871.188889
-227.988929,2001,16905.321213
-358.739141,2001,16939.800668
-208.269153,2001,16973.98644
-156.623187,2001,17007.878886
-250.245873,2001,17041.723243
-269.337887,2001,17075.728277
